"Jour","Entreprises","PME/PMI","Professionnels","Résidentiels","Total"
2023-08-20,"8770932654.0",3716513774,2230284,163989144,27239230781
2023-08-24,"13247849593.0",5045189757,2664896,164391186,34199670076
2023-09-12,"13481037493.0",4812464129,3144218,143890612,32460190730
2023-09-22,"12276361679.0",4443100779,3399359,148990815,31010543245
2023-09-29,"12513971577.0",4526300139,3558100,147163632,31196563912
2023-10-30,"11857996391.0",4588857058,4389934,213158784,35197541319
2023-11-14,"13069542295.0",5171295828,5376263,237823660,38611661606
2023-11-20,"12481858080.0",5221691903,5507906,266183427,39504520946
2023-12-03,"9745433356.0",5126184593,6371458,501270924,49396857285
2023-12-04,"13432649704.0",6434161725,7013112,432981218,52058592187
2023-12-08,"13130920710.0",6037811937,6954691,377261353,47857821462
2023-12-31,"7858895703.0",4181758054,5952203,383099849,39020019266
2024-01-08,"13757596265.0",6879353419,6584358,525013049,56103779228
2024-01-10,"14579447944.0",7157230991,6799053,593916807,60516617138
2024-01-16,"14447209401.0",6995786109,6658304,519983549,56817422875
2024-03-09,"9640719100.0",4607634128,4524925,380737706,40084675294
2024-03-17,"8480464992.0",3626541929,3487814,291261625,32184044877
2024-03-29,"12234579205.0",5060726476,4343150,296267934,39101331584
2024-03-30,"9315601193.0",4227292570,3745146,309768742,35286029522
2024-04-01,"8876013959.0",3954321828,3341124,303079814,34422434627
2024-04-05,"12399110105.0",4705348446,3791810,224730650,34888900996
2024-04-08,"12082242213.0",4544973537,3412841,212386513,33344309678
2024-04-26,"12238369335.0",4834016373,3785991,278086338,37760651127
2024-05-06,"11439745397.0",4531438697,3495801,222463454,33262895300
2024-05-14,"12463521873.0",4485925414,3250054,176946566,31652959527
2024-05-17,"12025722050.0",4402082507,3167862,188473654,31778368958
2024-05-20,"8909317286.0",3441284747,2389156,199283728,27391929429
2024-05-24,"12141381693.0",4367260229,3034074,182610151,31447078022
2024-05-29,"12624812322.0",4401049006,2913059,192057509,32085059886
2024-06-11,"12548422609.0",4462133614,2870224,166985208,31317506056
2024-06-21,"12285604669.0",4464028950,3299438,166013592,30968030767
2024-06-22,"9157775283.0",3654042878,2891559,181142065,27143481843
2024-07-05,"12532038786.0",4564173171,3298613,166749847,31319238313
2024-07-30,"13297815424.0",5217465930,3438844,180332868,34033476424
2024-08-02,"12075152779.0",4872607285,3643082,177528421,32149722970
2024-08-07,"11331469473.0",4656851010,3448665,172615948,30470599499
2024-08-31,"9732255330.0",3994898537,3726149,184587644,28348733758
2024-09-24,"12683051573.0",4533253939,4989840,169349195,31919336477
2024-10-02,"12747298108.0",4565353186,5326644,206001462,33843920122
2024-10-07,"12216538459.0",4593085787,5715028,199966617,33457919046
2024-10-20,"8360314614.0",3310827502,5060429,227949219,28312207385
2024-11-07,"13035616506.0",5127341855,7363562,275213932,37793412081
2024-11-13,"13366070643.0",5511526323,8014101,362451468,42819646988
2024-11-15,"12970975673.0",5540133406,8655167,363177444,42947367719
2019-12-10,"15098781930.0",42042310,159227,40400662,53211981803
2019-12-16,"13761698307.0",38765826,138432,34531665,47367143187
2019-12-18,"14171647941.0",39188917,125643,34739254,46565433737
2020-01-04,"9935992706.0",37587792,134707,44456102,45916025450
2020-01-07,"14622711818.0",46784373,182142,43339007,51888290656
2020-01-13,"14119953257.0",46466378,191435,44607797,51341428985
2020-01-14,"14683983134.0",46897907,193762,42185553,50340804818
2020-01-23,"15353172128.0",50599139,237275,53934036,56951460522
2020-03-15,"8767909046.0",34056670,119804,43925588,37193004275
2020-03-20,"10560408927.0",34020101,93052,35369070,34682139200
2020-03-22,"7743611009.0",30343530,109865,44314298,34965778929
2020-03-24,"10778062343.0",36098221,112860,44517190,39097832008
2020-03-27,"10459811425.0",36574420,115770,47402142,39842178442
2020-04-02,"10840379256.0",38744163,120558,46683379,40170481231
2020-04-03,"10444999037.0",38197827,111363,44059949,38426270938
2020-04-09,"10715525859.0",41917650,76455,28352932,31148294605
2020-04-10,"10279579247.0",41903180,73600,27597445,30082141488
2020-04-11,"8066998425.0",38260835,68543,28762278,27648891435
2020-04-15,"10885311336.0",43581387,84790,31187619,32496941068
2020-04-18,"8108617783.0",39588278,68613,28342406,27540180417
2020-04-23,"11059398530.0",47937477,74451,26802474,30942189907
2020-04-29,"11193960090.0",38900852,90371,29501812,31495155520
2020-04-30,"10866922261.0",37371293,95689,29549193,31898012844
2020-05-01,"7977504065.0",29496333,84647,32090859,28612344584
2020-05-10,"7386236070.0",27666787,190512,27780634,25757775042
2020-05-11,"11014067462.0",36442591,274347,27900540,31560688237
