"","Jour","Entreprises ","PME/PMI","Professionnels","Résidentiels","Total"
"134",2022-12-10,"10616241889.0",2435315063,6691895,383560267,50342865158
"135",2022-12-24,"8169940442.0",1765472234,5835910,237568048,35394079245
"136",2023-01-06,"12655915833.0",5441602750,5547402,243771520,41995862592
"137",2023-01-07,"9535695953.0",4522545694,5189365,269315851,38729414693
"138",2023-01-10,"13717569754.0",6056807726,5671355,289802319,47179071427
"139",2023-01-17,"14121892270.0",6560926644,5855396,346000279,51825203994
"140",2023-01-22,"9991171523.0",5426759664,5596174,462397664,53097572424
"141",2023-02-06,"13436393721.0",6242129817,5144472,335132779,49329498941
"142",2023-02-15,"13570368513.0",5853565560,4723661,319543732,47206248989
"143",2023-02-16,"13369458962.0",5761710732,4735571,297940899,46040120569
"144",2023-02-22,"13327773279.0",5494274324,4463535,280009479,43725475000
"145",2023-03-03,"13393530793.0",6147349515,4857575,356299610,49871144606
"146",2023-03-08,"13487441843.0",5826599406,4383924,318573506,46486049185
"147",2023-03-29,"12937944668.0",4970604272,3269808,229756985,38344749172
"148",2023-04-02,"8631473561.0",3864624916,3244498,265467438,34841494810
"149",2023-04-16,"8532177585.0",3737644785,2611600,245331549,33215930189
"150",2023-04-17,"12272146954.0",4919007088,2834816,220430861,37607962798
"151",2023-04-18,"12764042555.0",4889922937,2766758,206148745,37244876204
"152",2023-04-23,"8329940203.0",3473850894,2401185,212573985,30455164739
"153",2023-05-01,"7879459171.0",3229986064,2000338,177435698,27160843309
"154",2023-05-04,"12705194951.0",4452128977,2314455,146587220,31972823129
"155",2023-05-06,"9199786928.0",3636894008,2130448,156701709,27451697281
"156",2023-05-18,"9214179343.0",3533090043,1932497,174094141,28882405391
"157",2023-05-22,"11927905638.0",4333000679,2079661,150306195,30877069663
"158",2023-05-25,"12607287743.0",4458846487,2066753,146048644,31647837636
"159",2023-06-09,"12798878302.0",4726308232,2192787,139670799,31543694005
"160",2023-06-15,"13361411233.0",4861644777,2075068,137828685,32107707358
"161",2023-06-25,"9014562621.0",3583372928,1803533,158425433,26729308587
"162",2023-06-27,"13352965231.0",4861171212,2075083,140768003,32307496874
"163",2023-07-17,"12794811424.0",4790284541,2039275,147214167,32129769276
"164",2023-07-25,"12739098774.0",4595133113,2133752,141374439,31602234225
"165",2023-07-30,"8317145514.0",3415703451,1960202,153109574,25742677126
"166",2023-08-04,"10602893928.0",4141260799,2297680,141515913,28743360699
"167",2023-08-11,"10865000321.0",4418172794,2413018,143048565,29438227317
"168",2023-08-15,"8926568515.0",3694587023,2145946,148010170,26519850161
"169",2023-08-18,"11459117265.0",4594720052,2443552,149522982,30707282397
"170",2023-08-19,"9536599396.0",4170187483,2338215,158120954,28418217896
"171",2023-09-09,"10295548210.0",4191395405,2835384,163132296,29291747292
"172",2023-09-14,"13287907207.0",4705584510,3114834,143615184,32003554364
"173",2023-09-20,"13088404656.0",4514451455,3143209,154483602,31764353755
"174",2023-10-06,"12374743359.0",4462638804,3734572,152682529,31335193933
"175",2023-10-13,"12478741905.0",4480176991,3997550,150144032,31365971296
"176",2023-10-20,"12297336781.0",4533778808,4395681,169006633,32610484226
"177",2023-10-27,"12156463863.0",4572303554,4493760,202984877,34905482085
"178",2023-11-11,"9211181006.0",4310232178,4993850,320653873,37422654080
"179",2023-11-17,"12589592931.0",5295581980,5679086,278351994,40406310784
"180",2023-11-26,"9220586329.0",4576337120,5541952,422078535,43435316887
"181",2023-12-02,"10406032288.0",5497036074,6564698,464851315,48633291409
"182",2023-12-10,"9023002300.0",4327941128,5758391,363355223,39882634183
"183",2023-12-12,"13329696368.0",5624836413,6490270,292548098,42729205078
"184",2023-12-17,"9373693160.0",4837727371,6097783,442347225,45178356985
"185",2023-12-19,"13635169573.0",6496489805,7153353,416815910,51446114627
"186",2023-12-20,"13197775477.0",6101580180,6731059,401516260,48907843960
